tweet_id,timestamp,source,name,dog_stage,rating,retweet_count,favorite_count,img_num,p1,p1_conf,p1_dog
892420643555336193,2017-08-01 16:23:56,iPhone,Phineas,unknown,1.3,8853,39467,1,orange,0.0970486,False
892177421306343426,2017-08-01 00:17:27,iPhone,Tilly,unknown,1.3,6514,33819,1,Chihuahua,0.323581,True
891815181378084864,2017-07-31 00:18:03,iPhone,Archie,unknown,1.2,4328,25461,1,Chihuahua,0.716012,True
891689557279858688,2017-07-30 15:58:51,iPhone,Darla,unknown,1.3,8964,42908,1,Labrador_retriever,0.168086,True
891327558926688256,2017-07-29 16:00:24,iPhone,Franklin,unknown,1.2,9774,41048,2,basset,0.555712,True
891087950875897856,2017-07-29 00:08:17,iPhone,unknown,unknown,1.3,3261,20562,1,Chesapeake_Bay_retriever,0.425595,True
890971913173991426,2017-07-28 16:27:12,iPhone,Jax,unknown,1.3,2158,12041,1,Appenzeller,0.34170300000000003,True
890729181411237888,2017-07-28 00:22:40,iPhone,unknown,unknown,1.3,16716,56848,2,Pomeranian,0.566142,True
890609185150312448,2017-07-27 16:25:51,iPhone,Zoey,unknown,1.3,4429,28226,1,Irish_terrier,0.487574,True
890240255349198849,2017-07-26 15:59:51,iPhone,Cassie,doggo,1.4,7711,32467,1,Pembroke,0.511319,True
890006608113172480,2017-07-26 00:31:25,iPhone,Koda,unknown,1.3,7624,31166,1,Samoyed,0.957979,True
889880896479866881,2017-07-25 16:11:53,iPhone,Bruno,unknown,1.3,5156,28268,1,French_bulldog,0.377417,True
889665388333682689,2017-07-25 01:55:32,iPhone,unknown,puppo,1.3,8538,38818,1,Pembroke,0.966327,True
889638837579907072,2017-07-25 00:10:02,iPhone,Ted,unknown,1.2,4735,27672,1,French_bulldog,0.99165,True
889531135344209921,2017-07-24 17:02:04,iPhone,Stuart,puppo,1.3,2321,15359,1,golden_retriever,0.953442,True
889278841981685760,2017-07-24 00:19:32,iPhone,Oliver,unknown,1.3,5637,25652,1,whippet,0.626152,True
888917238123831296,2017-07-23 00:22:39,iPhone,Jim,unknown,1.2,4709,29611,1,golden_retriever,0.714719,True
888804989199671297,2017-07-22 16:56:37,iPhone,Zeke,unknown,1.3,4559,26080,1,golden_retriever,0.46976,True
888554962724278272,2017-07-22 00:23:06,iPhone,Ralphus,unknown,1.3,3732,20290,3,Siberian_husky,0.700377,True
888078434458587136,2017-07-20 16:49:33,iPhone,Gerald,unknown,1.2,3653,22201,1,French_bulldog,0.995026,True
887705289381826560,2017-07-19 16:06:48,iPhone,Jeffrey,unknown,1.3,5609,30779,1,basset,0.821664,True
887517139158093824,2017-07-19 03:39:09,iPhone,unknown,unknown,1.4,12082,46959,1,limousine,0.130432,False
887473957103951883,2017-07-19 00:47:34,iPhone,Canela,unknown,1.3,18781,69871,2,Pembroke,0.809197,True
887343217045368832,2017-07-18 16:08:03,iPhone,unknown,unknown,1.3,10737,34222,1,Mexican_hairless,0.330741,True
887101392804085760,2017-07-18 00:07:08,iPhone,unknown,unknown,1.2,6167,31061,1,Samoyed,0.733942,True
886983233522544640,2017-07-17 16:17:36,iPhone,Maya,unknown,1.3,8084,35859,2,Chihuahua,0.793469,True
886736880519319552,2017-07-16 23:58:41,iPhone,Mingus,unknown,1.3,3443,12306,1,kuvasz,0.309706,True
886680336477933568,2017-07-16 20:14:00,iPhone,Derek,unknown,1.3,4610,22798,1,convertible,0.738995,False
886366144734445568,2017-07-15 23:25:31,iPhone,Roscoe,pupper,1.2,3316,21524,1,French_bulldog,0.999201,True
886258384151887873,2017-07-15 16:17:19,iPhone,Waffles,unknown,1.3,6523,28469,1,pug,0.943575,True
885984800019947520,2017-07-14 22:10:11,iPhone,Jimbo,unknown,1.2,7097,33382,1,Blenheim_spaniel,0.972494,True
885528943205470208,2017-07-13 15:58:47,iPhone,Maisey,unknown,1.3,6683,36689,1,pug,0.369275,True
885167619883638784,2017-07-12 16:03:00,iPhone,unknown,unknown,1.3,4556,22367,4,malamute,0.8124819999999999,True
884925521741709313,2017-07-12 00:01:00,iPhone,Earl,unknown,1.2,16439,68152,1,Italian_greyhound,0.259916,True
884876753390489601,2017-07-11 20:47:12,iPhone,Lola,unknown,1.3,6096,28514,1,chow,0.822103,True
884562892145688576,2017-07-11 00:00:02,iPhone,Kevin,unknown,1.3,5100,24765,1,pug,0.5464060000000001,True
884441805382717440,2017-07-10 15:58:53,iPhone,unknown,unknown,1.4,5856,27478,1,Pembroke,0.993225,True
884162670584377345,2017-07-09 21:29:42,iPhone,Yogi,doggo,1.2,3128,20771,1,German_shepherd,0.707046,True
883838122936631299,2017-07-09 00:00:04,iPhone,Noah,unknown,1.2,3586,22349,1,Doberman,0.610946,True
883482846933004288,2017-07-08 00:28:19,iPhone,Bella,unknown,0.5,10407,46860,1,golden_retriever,0.943082,True
883360690899218434,2017-07-07 16:22:55,iPhone,Grizzwald,floofer,1.3,3825,22986,1,chow,0.987997,True
883117836046086144,2017-07-07 00:17:54,iPhone,unknown,unknown,1.3,6949,37914,2,golden_retriever,0.949562,True
882992080364220416,2017-07-06 15:58:11,iPhone,Rusty,unknown,1.3,4122,24445,1,Eskimo_dog,0.466778,True
882762694511734784,2017-07-06 00:46:41,iPhone,Gus,pupper,1.2,5134,28903,1,Labrador_retriever,0.85005,True
882627270321602560,2017-07-05 15:48:34,iPhone,Stanley,unknown,1.3,6342,28382,1,Pembroke,0.542982,True
882268110199369728,2017-07-04 16:01:23,iPhone,Alfy,unknown,1.3,12118,45880,1,golden_retriever,0.762211,True
882045870035918850,2017-07-04 01:18:17,iPhone,Koko,unknown,1.3,5203,29900,1,golden_retriever,0.00694063,True
881906580714921986,2017-07-03 16:04:48,iPhone,Rey,unknown,1.2,3533,24773,1,Weimaraner,0.291539,True
881666595344535552,2017-07-03 00:11:11,iPhone,Gary,unknown,1.3,11099,51522,1,Saluki,0.529012,True
